Exposure Weight,Ticker,Description,Exposure Value(Notional + GL),Market Value,Shares/Contracts
0.07%,CNO,CNO FINANCIAL GROUP INC,--,"$23,056.02",501
0.07%,DUOL,DUOLINGO,--,"$23,001.87",213
0.07%,POST,POST HOLDINGS INC,--,"$22,859.20",224
0.07%,TREX,TREX COMPANY INC,--,"$22,833.60",568
0.07%,FLG,FLAGSTAR BANK NA,--,"$22,690.92","1,589"
0.07%,VNT,VONTIER CORP,--,"$22,597.59",751
0.07%,SAIC,SCIENCE APPLICATIONS INTE,--,"$22,543.20",240
0.07%,TNL,TRAVEL + LEISURE CO,--,"$22,496.76",342
0.07%,FFIN,FIRST FINL BANKSHARES INC,--,"$22,323.92",692
0.07%,FHI,FEDERATED HERMES INC,--,"$21,932.40",392
0.07%,KBR,KBR INC,--,"$21,899.42",673
0.07%,PVH,PVH CORP,--,"$21,743.64",243
0.07%,MORN,MORNINGSTAR INC,--,"$21,734.10",123
0.07%,APPF,APPFOLIO INC - A,--,"$21,656.70",130
0.07%,THO,THOR INDUSTRIES INC,--,"$21,616.00",280
0.07%,GHC,GRAHAM HOLDINGS CO-CLASS B,--,"$21,590.65",19
0.06%,OLED,UNIVERSAL DISPLAY CORP,--,"$21,561.25",235
0.06%,BBWI,BATH & BODY WORKS INC,--,"$21,407.05","1,085"
0.06%,IBOC,INTERNATIONAL BANCSHARES CRP,--,"$21,101.76",288
0.06%,NVST,ENVISTA HOLDINGS CORP,--,"$21,064.56",869
0.06%,LIVN,LIVANOVA PLC,--,"$20,839.40",290
0.06%,IRT,INDEPENDENCE REALTY TRUST IN,--,"$20,652.51","1,257"
0.06%,KRC,KILROY REALTY CORP,--,"$20,207.10",579
0.06%,PLNT,PLANET FITNESS INC - CL A,--,"$20,187.20",440
0.06%,BILL,BILL HOLDINGS INC,--,"$19,576.44",468
0.06%,SHC,SOTERA HEALTH CO,--,"$19,535.64","1,238"
0.06%,HLNE,HAMILTON LANE INC-CLASS A,--,"$19,313.00",217
0.06%,PII,POLARIS INC,--,"$19,311.92",283
0.06%,ELF,ELF BEAUTY INC,--,"$19,110.04",314
0.06%,CDP,COPT DEFENSE PROPERTIES,--,"$19,020.00",600
0.06%,RYAN,RYAN SPECIALTY HOLDINGS INC,--,"$19,005.17",607
0.06%,ANF,ABERCROMBIE & FITCH CO-CL A,--,"$18,951.57",243
0.06%,WING,WINGSTOP INC,--,"$18,931.82",146
0.06%,DLB,DOLBY LABORATORIES INC-CL A,--,"$18,782.45",323
0.06%,SLGN,SILGAN HOLDINGS INC,--,"$18,761.16",466
0.06%,BHF,BRIGHTHOUSE FINANCIAL INC,--,"$18,720.90",305
0.06%,MMS,MAXIMUS INC,--,"$18,638.30",290
0.06%,DOCS,DOXIMITY INC-CLASS A,--,"$18,445.80",710
0.05%,QLYS,QUALYS INC,--,"$18,007.48",191
0.05%,AVNT,AVIENT CORP,--,"$17,965.43",487
0.05%,PBF,PBF ENERGY INC-CLASS A,--,"$17,912.40",440
0.05%,PEGA,PEGASYSTEMS INC,--,"$17,447.88",485
0.05%,OPCH,OPTION CARE HEALTH INC,--,"$17,269.42",842
