Exposure Weight,Ticker,Description,Exposure Value(Notional + GL),Market Value,Shares/Contracts
0.07%,WVE,WAVE LIFE SCIENCES LTD,--,"$55,020.34","7,663"
0.07%,KALV,KALVISTA PHARMACEUTICALS INC,--,"$55,010.34","2,058"
0.07%,GHRS,GH RESEARCH PLC,--,"$54,106.92","2,526"
0.07%,IMCR,IMMUNOCORE HOLDINGS PLC-ADR,--,"$52,770.72","1,784"
0.07%,CRVS,CORVUS PHARMACEUTICALS INC,--,"$52,279.10","3,362"
0.07%,MAZE,MAZE THERAPEUTICS INC,--,"$50,966.74","1,958"
0.06%,AVBP,ARRIVENT BIOPHARMA INC,--,"$49,619.00","1,682"
0.06%,COLL,COLLEGIUM PHARMACEUTICAL INC,--,"$48,837.60","1,292"
0.06%,OLMA,OLEMA PHARMACEUTICALS INC,--,"$48,588.90","3,261"
0.06%,EYPT,EYEPOINT INC,--,"$46,020.54","3,369"
0.06%,MNKD,MANNKIND CORP,--,"$44,147.84","12,542"
0.06%,XERS,XERIS BIOPHARMA HOLDINGS INC,--,"$44,103.62","6,754"
0.06%,ALVO,ALVOTECH SA,--,"$43,830.70","13,445"
0.06%,ZBIO,ZENAS BIOPHARMA INC,--,"$43,581.16","2,219"
0.06%,SEPN,SEPTERNA INC,--,"$43,467.27","1,821"
0.06%,SVRA,SAVARA INC,--,"$43,330.55","8,285"
0.05%,OMER,OMEROS CORP,--,"$40,750.92","2,884"
0.05%,GRFS,GRIFOLS SA-ADR,--,"$40,200.30","4,963"
0.05%,PHAT,PHATHOM PHARMACEUTICALS INC,--,"$38,984.96","3,206"
0.05%,XNCR,XENCOR INC,--,"$38,412.82","2,987"
0.05%,PCRX,PACIRA BIOSCIENCES INC,--,"$38,081.75","1,645"
0.05%,SANA,SANA BIOTECHNOLOGY INC,--,"$38,058.93","10,843"
0.05%,CMPS,COMPASS PATHWAYS PLC,--,"$38,054.40","3,840"
0.05%,ORIC,ORIC PHARMACEUTICALS INC,--,"$36,161.10","4,086"
0.05%,GERN,GERON CORP,--,"$36,119.15","25,985"
0.05%,ABSI,ABSCI CORP,--,"$36,113.90","6,121"
0.05%,SPRY,ARS PHARMACEUTICALS INC,--,"$35,178.50","4,025"
0.05%,JANX,JANUX THERAPEUTICS INC,--,"$35,111.48","2,477"
0.05%,TBPH,THERAVANCE BIOPHARMA INC,--,"$35,108.64","2,064"
0.05%,AMPH,AMPHASTAR PHARMACEUTICALS IN,--,"$35,074.00","1,846"
0.05%,CGEM,CULLINAN THERAPEUTICS INC,--,"$35,007.30","2,406"
0.04%,ABUS,ARBUTUS BIOPHARMA CORP,--,"$33,973.52","7,828"
0.04%,PAHC,PHIBRO ANIMAL HEALTH CORP-A,--,"$33,560.00",839
0.04%,ANNX,ANNEXON INC,--,"$33,519.79","5,891"
0.04%,KURA,KURA ONCOLOGY INC,--,"$33,365.64","3,542"
0.04%,DSGN,DESIGN THERAPEUTICS INC,--,"$32,947.74","2,317"
0.04%,ETON,ETON PHARMACEUTICALS INC,--,"$32,348.15","1,091"
0.04%,MGTX,MEIRAGTX HOLDINGS PLC,--,"$32,170.32","3,276"
0.04%,BIOA,BIOAGE LABS INC,--,"$31,788.33","1,767"
0.04%,MESO,MESOBLAST LTD- SPON ADR,--,"$31,381.46","2,129"
0.04%,ESPR,ESPERION THERAPEUTICS INC,--,"$30,549.06","9,729"
0.04%,MRVI,MARAVAI LIFESCIENCES HLDGS-A,--,"$28,896.30","5,958"
0.04%,VOR,VOR BIOPHARMA INC,--,"$28,679.42","1,693"
0.04%,IRWD,IRONWOOD PHARMACEUTICALS INC,--,"$27,949.06","6,623"
0.04%,CTMX,CYTOMX THERAPEUTICS INC,--,"$27,446.08","6,896"
0.03%,ARVN,ARVINAS INC,--,"$26,326.44","2,604"
